model,mode,input_h,input_w,latency_ms,fps,mem_MB,mem_peak_MB,mem_reserved_MB
YOLOv11,R,1280,1280,19.14,52.24,147.84,497.84,660.00
D-FINE,R,1280,1280,21.61,46.28,284.54,722.78,1278.00
cascade_rcnn,R,1280,1280,35.83,27.91,439.00,962.73,1254.00
CODETR,R,1280,1280,278.38,3.59,278.52,2427.23,3052.00
DETR,R,1280,1280,24.70,40.49,330.46,655.45,1262.00
DINO,R,1280,1280,77.99,12.82,354.39,822.15,1528.00
RetinaNet,R,1280,1280,26.11,38.30,316.37,635.52,1192.00
RTDETR,R,1280,1280,30.12,33.20,334.78,659.75,888.00
RTMDet,R,1280,1280,15.81,63.24,146.99,408.84,832.00

